question stem,option A,option B,option C,option D,option A feedback,option B feedback,option C feedback,option D feedback,correct answer,data content ID,question nickname
A ninth-grade class is ordering pizza for lunch. There are \( n \) students in the class. Each slice of pizza costs $3 and the delivery fee is $8. Which expression represents the total cost if each student gets 2 slices of pizza?,\( 3n \),\((2)3n \),\((2)3n  + 8 \),\( 3n + 8 \),"Incorrect. Let's try again a different way: Each student gets 2 slices of pizza. Multiply the cost of one slice \( (3n) \) by 2. Also, add the delivery fee of $8. The answer is \( (2)3n  + 8 \).",Incorrect. Let's try again a different way: The cost must include a delivery fee of $8. The answer is \((2)3n + 8 \).,That's correct! Check yourself: The expression that represents the cost of 2 slices of pizza for n students is \( (2)3n \). Adding the delivery fee of $8 results in the expression \( (2)3n + 8 \).,Incorrect. Let's try again a different way: Each student gets 2 slices of pizza. Multiply the cost of one slice by 2. The answer is \( (2)3n + 8 \).,C,436756a8-9256-4d61-bfbb-dd8abaec48d4,Alg1_1_1_2_SC
Marcus works \( s \) hours per week stocking shelves. He works \( m \) hours per week mowing lawns. Marcus works at least 8 hours per week stocking shelves. He works at most a total of 20 hours per week. Which of the following represent constraints for this situation?,\( s + m \ge 20; s \ge 8 \),\( s + m \le 20; s \ge 8 \),\( s + m \ge 20; s \le 8 \),\( s + m \le 20; s \le 8 \),Incorrect. Let's try again a different way: At most 20 hours means 20 hours or less. Use the less than or equal to symbol. The correct answer is \( s + m \le 20; s \ge 8 \).,"That's correct! Check yourself: At most 20 hours means 20 hours or less, which uses the less than or equal to symbol. At least 8 hours means 8 hours or more, which uses the greater than or equal to symbol.",Incorrect. Let's try again a different way: At most 20 hours means 20 hours or less. Use the less than or equal to symbol. At least 8 hours means 8 hours or more. Use the greater than or equal to symbol. The correct answer is \( s + m \le 20; s \ge 8 \).,Incorrect. Let's try again a different way: At least 8 hours means 8 hours or more Use the greater than or equal to symbol. The correct answer is \( s + m \le 20; s \ge 8 \).,B,b84b237a-8821-4796-a66e-2906d84860ba,Alg1_1_1_3_SC
"The sum of the measures of the angles of a triangle is \( 180° \). The right triangle shown has angle measures \( a \), \( b \), and \( 90° \). Which equation could model this relationship?",\( ab + 90 = 180 \),\( a + b - 90 =180 \),\( a + b + 90 = 180 \),\( 90ab=180 \),Incorrect. Let's try again a different way:Summeans to add. The angles measures must be added. The sum is 180. The answer is \( a+b+90=180 \).,Incorrect. Let's try again a different way:Summeans to add. The measures of all three angles must be added. The sum is 180. The answer is \( a+b+90=180 \).,That's correct! Check yourself: The measures of the angles must be added. The sum is 180. The answer is \( a+b+90=180 \).,Incorrect. Let's try again a different way:Summeans to add. The angle measures must be added. The sum is 180. The answer is \( a+b+90=180 \).,C,4dc73a55-96c7-490f-8afd-8f393a34b9d1,Alg1_1_2_2_SC
Max and Jules are renting a car for their 3-day trip. The rental company charges $50 per day and $0.40 per mile driven. Which is a possible equation for their cost of the rental car?,\( C=50(3)+40m \),\( C=50m+40(3) \),\( C=50(3)+40(3)+0.40m \),\( C=50(3)+0.40m \),"Incorrect. Let's try again a different way: The cost per mile should represent 40 cents, which is 0.40. The correct answer is \( C=50(3)+0.40m \).","Incorrect. Let's try again a different way: This equation shows they traveled 3 miles. The number of miles is unknown, \( m \), and the cost per mile should be 0.40. The cost per day is $50, and the number of days is known, 3. The correct answer is \( C=50(3)+0.40m \).","Incorrect. Let's try again a different way: Look for the known and unknown values. The cost per day is known, $50. The number of days of the trip is known, 3. The number of miles driven is unknown, \( m \). The cost per mile is known, $0.40. The correct answer is \( C=50(3)+0.40m \).","That's correct! Check yourself: They will pay $50 times 3 days plus 0.40 multiplied by the number of miles, \( C=50(3)+0.40m \).",D,13ae732f-f70d-448f-a6a6-794fd1fa1c4a,Alg1_1_2_3_SC
Sweet’s Candy Store charges $5.00 to fill a bag of candy. There is also a sales tax of 7% per purchase. Mrs. Smith buys 4 bags of candy for her children for Christmas. What is an equation that can represent the cost of the candy that Mrs. Smith buys?,\( C=0.07(4(5))+4(5) \),\( C=0.07(4(5)) \),\( C=4(5) \),\( C=0.07+4(5) \),That's correct! Check yourself: Mrs. Smith will pay $5 times 4 bags plus 7% of $5 times 4 bags for the purchase of the candy.,Incorrect. Let's try again a different way: Be sure to include the original price of the 4 bags of candy at $5.00 a bag. The correct answer is \( C=0.07(4(5))+4(5) \).,Incorrect. Let's try again a different way: Be sure to include the tax amount multiplied by the cost of the candy. Then add the tax to the cost of the candy. The correct answer is \( C=0.07(4(5))+4(5) \).,Incorrect. Let's try again a different way: You must multiply the tax rate by the cost of the 4 bags of candy. The correct answer is \( C=0.07(4(5))+4(5) \).,A,cb876cf6-bcab-4280-8acb-23567202f520,Alg1_1_2_4_SC
"Miles from Home, \( x \)0510Miles from School, \( y \)302520Using the table above, what is an equation that shows the relationship between miles from home and miles from school?",\( y=30+x \),\( y=20+x \),\( y=30-x \),\( y=30x \),"Incorrect. This equation works for the first column, but not the others. Let's try again a different way: Look for a pattern that works for every column. How do the \( y \)-values change as the \( x \)-values change? The answer is \( y=30-x \).","Incorrect. This equation works for the third column, but not the others. Let's try again a different way: Look for a pattern that works for every column. How do the \( y \)-values change as the \( x \)-values change? The answer is \( y=30-x \).","That's correct! Check yourself: The student lives 30 miles from school, so subtract how far they are from home to see how far they are from school at any given time.",Incorrect. This equation does not work for any value of \( x \). Let's try again a different way: Look for a pattern that works for every column. How do the \( y \)-values change as the \( x \)-values change? The answer is \( y=30-x \).,C,8bed2a8d-6c06-44ae-82b2-d79406a6ed77,Alg1_1_3_2_SC
"Number of guests, \( g \)12312Number of cupcakes per guest, \( n \)241282What is one way to write the relationship between the number of guests and the number of cupcakes per guest from the table above?",\( n= 24g \),\( n=\frac{24}{g}\),\( n=\frac{g}{24} \),\( n = 24 - g \),Incorrect. Let's try again a different way: Each guest does not get 24 cupcakes. The total number will always be 24 cupcakes. The correct answer is \( n=\frac{24}{g} \).,"That's correct! Check yourself: The 24 cupcakes will be divided by the number of guests, so this is the correct answer.",Incorrect. Let's try again a different way: The number of cupcakes for each guest is found by dividing the total cupcakes by the number of guests. The correct answer is \( n=\frac{24}{g} \).,Incorrect. Let's try again a different way: This does not work for the values in the table. The number of cupcakes for each guest is found by dividing the total cupcakes by the number of guests. The correct answer is \( n=\frac{24}{g} \).,B,d3c9b6e5-b36a-40bc-9f4a-145e82a4c2a1,Alg1_1_3_3_SC
"Jada found a third job option and was offered a position working at a camp for $10.50 per hour. The total bus fare to and from the camp is $8.40. Write an equation that represents how much she will make in a day, \( d \), after working \( h \) hours.",\( d = 10.50h - 8.40  \),\( d = 10.50h + 8.40 \),\( d=\frac{10.50h}{8.40}\),\( d=8.40h +10.50 \),That's correct! Check yourself: Jada will make $10.50 per hour (\( 10.50h \)) but must subtract the bus fare for the day of 8.40.,Incorrect. Let's try again a different way: The bus fare should be subtracted from what Jada is making per hour. The answer is \( d = 10.50h - 8.40 \).,Incorrect. Let's try again a different way: The bus fare should be subtracted from what Jada is making per hour. The answer is \( d = 10.50h - 8.40 \).,"Incorrect. Let's try again a different way: The amount Jada makes per hour is 10.50, so that should be multiplied by the number of hours, \( h \). The answer is \( d = 10.50h - 8.40 \).",A,09e6417b-7d0b-41ad-affc-a68b2e49f30c,Alg1_1_4_2_SC
"Which of the following is a solution (\( x, y \)) to \( 2x + 3y = 7 \)?","\( (2, 1) \)","\( (1, 2) \)","\( (4, -1) \)","\(  (-2, 4) \)","That's correct! Check yourself: When \( x=2 \) and \( y = 1 \), \( 2(2) + 3(1) = 7 \) is a true statement.","Incorrect. Let's try again a different way: Let \( x= 2 \) and \( y =1 \). The correct answer is \( (2, 1) \).","Incorrect. Let's try again a different way: When \( x = -2 \) and \( y = 4 \), the equation becomes \( 2(-2)+3(4)=7 \) or \( 8=7 \), which is not a true statement. The correct answer is \( (2, 1) \).","Incorrect. Let's try again a different way: When \( x = -2 \) and \( y = 4 \), the equation becomes \( 2(-2)+3(4)=7 \) or \( 8=7 \), which is not a true statement. The correct answer is \( (2, 1) \).",A,f1f2b6ea-65f4-4946-83a5-ead15d194db4,Alg1_1_4_3_SC
Which point is a solution to the line graphed below?,"\( (3, 1) \)","\( (0, 1) \)","\( (1, 3) \)","\( (-3, 3) \)","That's correct! Check yourself: When \( x=3 \), \( y=1 \), so this point is a solution on the graph.","Incorrect. This point is located above the line that is graphed. Let's try again a different way: When a point is a solution to an equation, it must be located on the graph of the equation. The answer is \( (3, 1) \)","Incorrect. To get to \( (1, 3) \), you move 1 right from the origin and 3 up, so this point is not on the line. Let's try again a different way: When a point is a solution to an equation, it must be located on the graph of the equation. The answer is \( (3, 1) \).","Incorrect. To get to \( (-3, 3) \), move 3 left and then 3 up. This point is not a solution to the equation of the line graphed. Let's try again a different way: When a point is a solution to an equation, it must be located on the graph of the equation. The answer is \( (3, 1) \).",A,e80a4df0-0e10-415e-886d-037a9bf73f39,Alg1_1_5_3_SC
